sgRNA	Gene	P5_F1.fq	P5_F2.fq	P5_F3.fq	P5_F4.fq	P5_F5.fq	P5_F6.fq	P5_F7.fq	P5_F8.fq
ROSA26_g3	ROSA26	11694	10990	7629	9384	3369	6045	3658	1777
ROSA26_g4	ROSA26	8240	8855	6040	6272	2814	5194	2770	1378
ROSA26_g5	ROSA26	7544	6155	5021	6099	2137	3940	2086	1354
ROSA26_g6	ROSA26	9523	8259	6425	7623	2506	6506	3517	1678
ROSA26_g7	ROSA26	10593	9819	7558	8236	3360	5495	3149	1993
ROSA26_g8	ROSA26	5433	4640	3318	4298	2593	3020	1753	1023
ROSA26_g9	ROSA26	2984	2932	1929	2335	902	1683	954	610
ROSA26_g10	ROSA26	7818	8025	6005	7352	3068	5821	3184	1934
CCR5_g1	CCR5	5930	4929	4137	4935	2184	3355	2012	1262
CCR5_g2	CCR5	9027	8629	6288	6965	3458	5776	2749	1752
CCR5_g3	CCR5	5010	4425	3489	4073	1583	3126	1917	900
CCR5_g4	CCR5	4503	4738	3252	3917	1445	2241	1246	681
CCR5_g5	CCR5	5719	5471	3824	4808	2608	3287	1912	1131
CCR5_g6	CCR5	6716	5612	4412	5447	2514	4236	2383	822
CCR5_g7	CCR5	13099	12323	9689	11505	5424	7966	4948	3018
CCR5_g8	CCR5	8536	7973	6395	7640	3368	5314	3178	1793
CCR5_g9	CCR5	4151	4099	2837	3146	1567	2221	1297	731
CCR5_g10	CCR5	6933	6420	4781	5216	2625	3827	2241	1135
AAVS1_g1	AAVS1	10352	10526	7150	8395	3396	5953	3131	2012
AAVS1_g2	AAVS1	7131	6488	4488	5328	2368	4402	2334	963
AAVS1_g3	AAVS1	6894	6499	4914	5627	2345	3974	2366	1208
AAVS1_g4	AAVS1	3816	3796	2755	3010	1122	2159	1291	451
AAVS1_g5	AAVS1	6942	7134	4983	5050	2558	3690	1925	1085
AAVS1_g6	AAVS1	2520	2492	1786	1956	620	1553	812	477
AAVS1_g7	AAVS1	5792	5485	3858	4395	1581	3603	1960	1088
AAVS1_g8	AAVS1	10411	10206	6957	7464	4123	5413	2661	2038
AAVS1_g9	AAVS1	3118	3006	2183	2386	1073	1467	934	433
AAVS1_g10	AAVS1	3678	3994	2678	3306	820	2075	1343	829
EGFP_g1	EGFP	4832	5430	11025	9438	485	1323	5343	2458
EGFP_g2	EGFP	7646	8585	10293	9888	1406	1994	5384	2813
EGFP_g3	EGFP	4511	4950	4882	5042	1139	1743	2044	2079
EGFP_g4	EGFP	5356	5587	5595	5559	714	1587	3259	1435
EGFP_g5	EGFP	7046	7578	9565	9232	1154	1954	5217	2626
EGFP_g6	EGFP	10212	10250	7643	8659	2250	4056	3471	2055
mKate2_g1	mKate2	5259	4927	3211	3860	2369	2470	1934	656
mKate2_g2	mKate2	6079	6441	4412	4624	1860	3475	2296	1285
mKate2_g3	mKate2	5798	5444	4240	3773	2199	3796	1878	1036
mKate2_g4	mKate2	5111	5056	3614	4234	1449	2774	1813	842
mKate2_g5	mKate2	4713	5132	3783	4418	2056	2578	1584	807
mKate2_g6	mKate2	8816	8621	6451	7762	3505	5417	2936	1313
