sgRNA	Gene	P6_F5.fq	P6_F6.fq	P6_F7.fq	P6_F8.fq	P6_F1.fq	P6_F2.fq	P6_F3.fq	P6_F4.fq
CTRL0001_g1	CTRL	5426	5548	7739	6119	2907	3200	2478	3144
CTRL0002_g2	CTRL	4855	4929	6321	5442	2453	2654	2600	2864
CTRL0003_g3	CTRL	17311	17270	24615	20731	9163	9811	8735	8530
CTRL0004_g4	CTRL	3044	3174	4308	3980	1508	1677	1705	1615
CTRL0005_g5	CTRL	5661	5517	8061	6661	3172	3470	2866	3049
CTRL0006_g6	CTRL	11390	11337	16926	12802	6098	6416	5806	4729
CTRL0007_g7	CTRL	6420	6227	8674	6853	3421	3847	3102	3056
CTRL0008_g8	CTRL	6667	6847	9499	7770	3640	4092	3595	2965
CTRL0009_g9	CTRL	6087	6024	8738	7024	2880	3509	3085	2933
CTRL0010_g10	CTRL	10032	9591	13607	10225	4851	5944	4788	4908
ROSA26_g1	ROSA26	16709	18509	24732	21055	9511	10404	9019	7527
ROSA26_g2	ROSA26	6635	7617	9624	8213	3632	4029	3434	2866
ROSA26_g3	ROSA26	10141	9933	13634	12032	4958	6115	5042	4490
ROSA26_g4	ROSA26	8259	7484	10579	9155	3980	4780	3891	3108
ROSA26_g5	ROSA26	6238	5659	9415	7781	3330	3672	3552	3241
ROSA26_g6	ROSA26	8054	8463	13082	11123	5041	5205	4648	3843
ROSA26_g7	ROSA26	9197	8964	13510	11425	5558	5375	4216	4032
ROSA26_g8	ROSA26	4529	4448	6992	5440	2559	3047	2749	2386
ROSA26_g9	ROSA26	2755	2630	3812	3203	1431	1610	1526	1257
ROSA26_g10	ROSA26	8947	7735	12367	10995	4101	5224	4424	4458
CCR5_g1	CCR5	5100	4678	7294	6057	2809	3115	2959	3005
CCR5_g2	CCR5	7918	8142	11115	8798	4003	4700	3807	3407
CCR5_g3	CCR5	4393	4336	5883	5712	2185	2422	2062	1632
CCR5_g4	CCR5	4028	4176	5437	4647	1827	2308	1867	2151
CCR5_g5	CCR5	5186	4791	6992	6458	2918	3293	2876	2616
CCR5_g6	CCR5	6352	5854	8773	7574	3205	3410	2822	2377
CCR5_g7	CCR5	11296	10467	17099	15190	6728	7011	6025	6415
CCR5_g8	CCR5	6877	6655	10960	9491	4228	4101	3928	4226
CCR5_g9	CCR5	3511	3790	5079	4589	2007	2256	2046	1941
CCR5_g10	CCR5	5968	5674	8349	7298	3371	3523	3255	3150
AAVS1_g1	AAVS1	9001	9305	12738	11353	4638	5094	4143	4173
AAVS1_g2	AAVS1	4586	5575	7556	6905	3461	3937	3166	2755
AAVS1_g3	AAVS1	6321	6752	8898	7399	3679	3847	3180	2451
AAVS1_g4	AAVS1	3814	3893	5284	4654	1947	2172	1630	1478
AAVS1_g5	AAVS1	6625	6222	8970	7890	3502	3837	2886	2680
AAVS1_g6	AAVS1	2044	2022	2824	2811	1333	1229	1217	1048
AAVS1_g7	AAVS1	5157	5262	7413	6475	2562	2711	2512	2441
AAVS1_g8	AAVS1	9636	10143	13352	11185	4728	5323	4304	4154
AAVS1_g9	AAVS1	2620	2763	4061	3226	1506	1828	1294	1228
AAVS1_g10	AAVS1	3663	3602	5136	4658	1807	2372	2028	1826
EGFP_g1	EGFP	2982	3624	11552	8699	332	248	5198	4313
EGFP_g2	EGFP	5132	5856	13568	11504	410	448	6169	5965
EGFP_g3	EGFP	3627	3758	6914	5783	274	400	3971	3407
EGFP_g4	EGFP	3275	3970	7576	6464	269	365	3558	3059
EGFP_g5	EGFP	4842	5450	13074	10440	504	488	5561	4855
EGFP_g6	EGFP	10003	10225	14670	12262	1840	2303	5554	5467
mKate2_g1	mKate2	4802	4736	6708	5418	2067	2767	2117	2411
mKate2_g2	mKate2	5748	5395	7354	6395	2952	3511	3448	2745
mKate2_g3	mKate2	5590	5575	7788	6265	3063	3293	2866	2414
mKate2_g4	mKate2	4299	4488	6326	5491	2594	2711	2322	2191
mKate2_g5	mKate2	4927	4717	6417	5499	2402	2840	2260	1869
mKate2_g6	mKate2	8385	8550	12070	10292	4612	4910	4483	4118
