sgRNA	Gene	P2_F1.fq	P2_F2.fq	P2_F3.fq	P2_F4.fq	P2_F5.fq	P2_F6.fq	P2_F7.fq	P2_F8.fq
KRT20sh10	KRT20	344	0	0	0	195	366	340	271
Prom1sh1	Prom1	659	1	0	1	580	613	633	620
Prom1sh2	Prom1	117	3	1	0	47	58	79	35
Prom1sh3	Prom1	187	1	0	0	83	113	135	81
Prom1sh4	Prom1	873	3	0	0	618	787	1057	1054
Prom1sh5	Prom1	833	0	0	1	811	696	643	460
Prom1sh6	Prom1	74	0	0	1	26	55	50	23
Prom1sh7	Prom1	134	0	0	0	91	106	106	101
Prom1sh8	Prom1	78	0	0	0	52	58	59	63
Prom1sh9	Prom1	1480	3	0	0	2421	1544	1985	2434
Prom1sh10	Prom1	187	2	0	2	91	133	102	86
LGR5sh1	LGR5	4088	1	0	8	2593	3049	4797	4804
LGR5sh2	LGR5	58	0	0	0	37	44	65	33
LGR5sh3	LGR5	200	0	0	1	106	130	161	149
LGR5sh4	LGR5	345	1	0	0	346	363	410	256
LGR5sh5	LGR5	472	0	0	0	304	341	458	312
LGR5sh6	LGR5	149	1	0	0	47	126	131	122
LGR5sh7	LGR5	188	0	1	0	93	157	169	176
LGR5sh8	LGR5	69	0	0	2	40	64	55	24
LGR5sh9	LGR5	4797	0	0	8	3904	4052	5670	5962
LGR5sh10	LGR5	836	2	1	2	726	869	1055	825
CCR5ch1	CCR5	1142	0	1	4	540	656	704	638
CCR5ch2	CCR5	89	1	0	1	54	66	53	23
CCR5ch3	CCR5	78	0	0	0	54	47	55	104
CCR5ch4	CCR5	15604	9	0	7	10234	13442	10889	7502
CCR5ch5	CCR5	139	1	1	1	101	112	176	146
CCR5ch6	CCR5	0	0	0	0	0	0	0	0
CCR5ch7	CCR5	1372	3	0	1	691	947	1178	921
CCR5ch8	CCR5	122	1	0	0	37	77	72	38
CCR5ch9	CCR5	646	0	0	0	667	570	645	543
CCR5ch10	CCR5	345	5	0	1	234	303	293	288
hSATB1sh1	hSATB1	52	1	0	0	35	58	50	40
hSATB1sh2	hSATB1	130	3	0	5	71	87	109	27
hSATB1sh3	hSATB1	57	0	0	0	32	47	47	56
hSATB2sh1	hSATB2	122	3	0	3	50	109	83	59
hSATB2sh2	hSATB2	146	0	0	1	71	95	100	83
hSATB2sh3	hSATB2	51	1	1	0	26	53	63	19
hSMARCA4sh1	hSMARCA4	224	0	0	2	121	164	207	95
hSMARCA4sh2	hSMARCA4	86	2	1	1	63	73	70	45
hSMARCA4sh3	hSMARCA4	32	1	2	0	28	40	36	48
hSMARCB1sh1	hSMARCB1	79	3	0	0	35	59	58	22
hSMARCB1sh2	hSMARCB1	126	0	0	0	56	75	74	105
hSMARCC1sh1	hSMARCC1	595	1	0	1	392	476	284	200
hSMARCC1sh2	hSMARCC1	827	2	0	4	864	613	995	1309
hSMARCC1sh3	hSMARCC1	352	7	0	4	292	389	382	260
hSMARCC2sh1	hSMARCC2	171	4	0	0	74	117	100	146
hSMARCC2sh2	hSMARCC2	3004	8	2	0	3485	2567	2727	2964
hSMARCC2sh3	hSMARCC2	164	4	4	3	120	117	140	100
hSMARCD1sh1	hSMARCD1	1267	2	0	0	1068	1200	980	627
hSMARCD1sh2	hSMARCD1	126	1	0	0	73	100	103	75
hSMARCD1sh3	hSMARCD1	183	1	0	2	113	123	189	217
hSMARCD1sh4	hSMARCD1	188	0	1	0	86	173	144	114
TCF20sh1	TCF20	164	0	0	0	82	103	122	97
TCF20sh2	TCF20	374	0	0	0	343	375	668	616
TCF4sh1	TCF4	989	0	0	3	3284	856	1251	2223
TCF4sh2	TCF4	30	0	0	0	22	25	14	23
hAPCsh1	hAPC	8346	2	2	0	4481	4027	14427	16222
hAPCsh2	hAPC	503	3	0	1	412	340	1330	1827
hAPCsh3	hAPC	206	1	1	1	70	109	219	277
hAPCsh4	hAPC	249	2	0	0	125	136	619	959
POLRD2sh1	POLRD2	99	1	0	0	80	73	94	54
POLRD2sh2	POLRD2	39	0	0	0	19	30	27	33
POLRD2sh3	POLRD2	139	1	0	0	108	131	121	98
POLRD2sh4	POLRD2	1208	0	0	0	1867	865	621	572
POLRD2sh5	POLRD2	67	0	0	0	49	56	33	32
MYCsh1	MYC	1578	1	0	2	1133	836	365	308
MYCsh2	MYC	490	1	0	0	354	373	486	438
MYCsh3	MYC	99	4	0	2	57	82	87	104
MYCsh4	MYC	71	3	0	0	40	44	50	40
MYCsh5	MYC	222	4	0	2	315	189	234	307
GFPscrmsh1	GFPscrm	471	1	0	0	421	356	898	1245
GFPscrmsh2	GFPscrm	94	0	0	0	35	33	60	68
GFPscrmsh3	GFPscrm	318	0	0	1	170	153	544	822
GFPscrmsh4	GFPscrm	162	1	0	0	116	82	142	190
GFPscrmsh5	GFPscrm	138	5	0	1	82	113	96	58
GFPscrmsh6	GFPscrm	62	2	0	1	17	46	66	37
GFPscrmsh7	GFPscrm	123	1	1	1	74	90	107	73
GFPscrmsh8	GFPscrm	95	3	0	1	31	36	38	59
GFPscrmsh9	GFPscrm	68	1	0	1	33	41	49	91
GFPscrmsh10	GFPscrm	133	4	1	2	100	99	108	132
mKatescrmsh1	mKatescrm	130	2	1	0	57	76	79	63
mKatescrmsh2	mKatescrm	33	4	1	1	33	68	40	41
mKatescrmsh3	mKatescrm	221	0	0	0	348	200	306	420
mKatescrmsh4	mKatescrm	473	2	0	2	357	337	1001	1990
mKatescrmsh5	mKatescrm	113	0	0	0	29	81	98	45
mKatescrmsh6	mKatescrm	50	0	0	1	15	35	43	12
mKatescrmsh7	mKatescrm	33	2	0	0	38	44	16	40
mKatescrmsh8	mKatescrm	59	0	0	0	30	46	49	41
mKatescrmsh9	mKatescrm	102	1	0	2	64	67	64	75
mKatescrmsh10	mKatescrm	64	2	1	1	46	27	45	15
SOX9scrmsh1	SOX9scrm	840	1	0	1	762	733	1271	1293
SOX9scrmsh2	SOX9scrm	188	1	0	0	62	119	138	104
SOX9scrmsh3	SOX9scrm	183	1	0	1	153	117	165	272
SOX9scrmsh4	SOX9scrm	388	2	1	7	372	334	296	407
SOX9scrmsh5	SOX9scrm	268	3	0	6	178	258	247	230
SOX9scrmsh6	SOX9scrm	606	1	0	2	587	528	634	548
SOX9scrmsh7	SOX9scrm	0	0	0	0	0	0	0	0
SOX9scrmsh8	SOX9scrm	12478	3	0	3	8936	9390	21328	25976
SOX9scrmsh9	SOX9scrm	947	0	0	0	603	745	666	536
SOX9scrmsh10	SOX9scrm	11163	3	0	0	7198	8926	9599	7742
KRT20scrmsh1	KRT20scrm	40	0	0	1	24	39	36	29
KRT20scrmsh2	KRT20scrm	240	1	0	2	198	207	182	204
KRT20scrmsh3	KRT20scrm	116	0	0	0	105	91	66	98
KRT20scrmsh4	KRT20scrm	70	0	0	0	36	60	55	82
KRT20scrmsh5	KRT20scrm	43	1	0	0	13	44	53	36
KRT20scrmsh6	KRT20scrm	2516	0	0	0	2977	1873	2252	2046
KRT20scrmsh7	KRT20scrm	390	0	1	1	332	320	328	258
KRT20scrmsh8	KRT20scrm	222	1	0	0	109	146	353	402
KRT20scrmsh9	KRT20scrm	3573	2	0	0	3013	2844	2858	2442
KRT20scrmsh10	KRT20scrm	947	3	0	1	588	723	981	891
POLRD2scrmsh1	POLRD2scrm	131	0	0	0	63	112	127	158
POLRD2scrmsh2	POLRD2scrm	199	5	0	5	240	178	204	299
POLRD2scrmsh3	POLRD2scrm	187	4	1	2	149	153	164	221
POLRD2scrmsh4	POLRD2scrm	216	2	0	0	171	171	322	684
POLRD2scrmsh5	POLRD2scrm	435	3	1	0	360	307	563	753
MYCscrmsh1	MYCscrm	1435	3	1	1	1474	1336	2573	3211
GFPsh6m	GFP	224	13	2	5	188	217	169	133
GFPsh8m	GFP	173	3	1	2	80	138	120	112
mKatesh5m	mKate	113	0	0	1	68	63	168	184
mKatesh6m	mKate	142	5	0	1	72	123	75	52
SOX9sh1m	SOX9	569	2	0	1	437	525	419	257
KRT20sh2m	KRT20	2038	1	0	4	495	506	7581	8380
