sgRNA	Gene	P3_F1.fq	P3_F2.fq	P3_F3.fq	P3_F4.fq	P3_F5.fq	P3_F6.fq	P3_F7.fq	P3_F8.fq
ROSA26_g6	ROSA26	18179	19440	10972	11138	3577	8115	6908	2170
ROSA26_g7	ROSA26	19746	20941	12490	13038	4927	7728	6538	2679
ROSA26_g8	ROSA26	9235	10866	5488	6065	2515	4000	2651	1451
ROSA26_g9	ROSA26	4920	6227	3275	3131	1544	2248	1485	860
ROSA26_g10	ROSA26	11570	12710	8793	9101	3349	6543	5975	2205
CCR5_g1	CCR5	10607	11227	6947	7073	2318	4180	3429	1604
CCR5_g2	CCR5	14542	18475	8665	8793	3857	6165	4275	2618
CCR5_g3	CCR5	8325	10412	5951	6090	2867	3396	2598	1033
CCR5_g4	CCR5	7687	10027	5352	5331	1620	3088	2163	1067
CCR5_g5	CCR5	10134	11481	6446	7032	2173	3661	3079	1069
CCR5_g6	CCR5	12034	13289	8462	8117	3059	4571	3991	1479
CCR5_g7	CCR5	23932	27291	15288	16177	6098	9853	8225	3263
CCR5_g8	CCR5	15278	17287	9998	10335	3910	6067	5038	1897
CCR5_g9	CCR5	6918	8956	4366	4436	2543	2889	2151	759
CCR5_g10	CCR5	11937	13169	7909	7160	3281	4417	3678	1706
AAVS1_g1	AAVS1	18422	20465	11463	12012	4580	7527	6122	2837
AAVS1_g2	AAVS1	12344	13551	7700	8550	4173	5041	4305	1228
AAVS1_g3	AAVS1	12052	14657	8448	9040	4040	4632	4439	2025
AAVS1_g4	AAVS1	6857	8201	4969	4643	1508	2865	1944	877
AAVS1_g5	AAVS1	11928	14256	8039	7609	2853	4145	3295	1882
AAVS1_g6	AAVS1	4005	5019	2912	3129	771	1948	1724	840
AAVS1_g7	AAVS1	9538	11556	6361	6866	2384	3845	3127	1515
AAVS1_g8	AAVS1	18828	22083	12053	11510	4922	8011	5417	2222
AAVS1_g9	AAVS1	5499	6371	3781	3796	1127	2033	1544	516
AAVS1_g10	AAVS1	6406	8025	4002	4601	994	2424	1767	1011
EGFP_g1	EGFP	8606	11368	17038	13992	837	1755	10169	3672
EGFP_g2	EGFP	14027	18769	16497	14183	1442	142709	10985	3695
EGFP_g3	EGFP	7462	10430	7574	6966	927	2029	2832	2082
EGFP_g4	EGFP	9513	11833	8809	7783	1335	2019	5613	2153
EGFP_g5	EGFP	12786	15953	14846	12613	1120	2487	8914	3800
EGFP_g6	EGFP	18555	22878	12810	13103	3042	5672	6253	2407
mKate2_g1	mKate2	8603	10881	6572	6309	3198	3759	3626	1203
mKate2_g2	mKate2	8375	11406	6060	6049	2443	2956	3719	1497
mKate2_g3	mKate2	9697	12233	6072	6630	3364	3952	3211	1267
mKate2_g4	mKate2	8102	10047	5522	5938	1734	3567	3200	1367
mKate2_g5	mKate2	7537	10439	5135	6024	2881	3716	2994	1603
mKate2_g6	mKate2	15826	19699	10952	11984	4380	6346	5504	1952
