sgRNA	Gene	P1_F1.fq	P1_F2.fq	P1_F3.fq	P1_F4.fq	P1_F5.fq	P1_F6.fq	P1_F7.fq	P1_F8.fq
hSMARCD1sh4	hSMARCD1	117	86	128	136	61	55	65	38
TCF20sh1	TCF20	100	88	116	81	87	54	55	44
TCF20sh2	TCF20	293	172	197	472	353	287	223	154
TCF4sh1	TCF4	680	265	333	2807	1971	1156	1521	864
TCF4sh2	TCF4	33	11	29	12	5	19	6	2
hAPCsh1	hAPC	7791	4648	6050	8312	7364	5104	3204	2288
hAPCsh2	hAPC	676	432	542	941	642	489	402	358
hAPCsh3	hAPC	126	91	112	147	72	68	113	96
hAPCsh4	hAPC	270	161	257	386	510	295	210	113
POLRD2sh1	POLRD2	109	59	67	74	12	22	22	6
POLRD2sh2	POLRD2	37	14	26	29	8	9	10	12
POLRD2sh3	POLRD2	107	79	88	104	105	39	66	35
POLRD2sh4	POLRD2	1243	783	669	1292	1326	862	739	591
POLRD2sh5	POLRD2	37	34	33	57	36	16	35	12
MYCsh1	MYC	1286	660	786	584	868	439	165	167
MYCsh2	MYC	593	301	365	372	531	273	203	177
MYCsh3	MYC	82	43	88	60	114	68	80	14
MYCsh4	MYC	57	50	42	27	14	27	11	11
MYCsh5	MYC	227	116	169	336	243	215	166	95
GFPscrmsh1	GFPscrm	524	373	424	773	899	584	451	340
GFPscrmsh2	GFPscrm	73	44	74	79	18	28	23	12
GFPscrmsh3	GFPscrm	256	176	237	507	331	251	208	156
GFPscrmsh4	GFPscrm	135	95	105	131	135	89	105	42
GFPscrmsh5	GFPscrm	130	82	122	80	42	41	41	28
GFPscrmsh6	GFPscrm	32	32	54	19	35	13	9	12
GFPscrmsh7	GFPscrm	124	84	121	47	46	39	40	16
GFPscrmsh8	GFPscrm	32	32	64	56	31	24	11	6
GFPscrmsh9	GFPscrm	48	38	50	49	27	37	26	8
GFPscrmsh10	GFPscrm	148	94	163	133	120	66	65	29
mKatescrmsh1	mKatescrm	80	66	86	54	49	23	35	22
mKatescrmsh2	mKatescrm	55	46	69	25	28	8	17	16
mKatescrmsh3	mKatescrm	317	131	131	387	1579	604	242	192
mKatescrmsh4	mKatescrm	451	316	424	1056	1179	775	668	523
mKatescrmsh5	mKatescrm	85	53	73	37	16	25	24	13
mKatescrmsh6	mKatescrm	17	21	29	11	5	17	4	6
mKatescrmsh7	mKatescrm	44	24	27	18	0	13	4	0
mKatescrmsh8	mKatescrm	51	34	40	30	14	11	19	1
mKatescrmsh9	mKatescrm	63	59	75	54	39	39	23	12
mKatescrmsh10	mKatescrm	34	26	27	24	4	9	12	12
SOX9scrmsh1	SOX9scrm	561	501	568	1122	656	509	568	382
SOX9scrmsh2	SOX9scrm	143	100	86	70	120	57	48	38
SOX9scrmsh3	SOX9scrm	217	111	107	254	368	221	131	125
SOX9scrmsh4	SOX9scrm	324	197	281	520	607	287	354	190
SOX9scrmsh5	SOX9scrm	239	182	213	237	185	111	121	84
SOX9scrmsh6	SOX9scrm	533	319	435	595	452	288	231	189
SOX9scrmsh7	SOX9scrm	0	0	0	0	0	0	0	0
SOX9scrmsh8	SOX9scrm	11440	7764	6373	13690	17048	12331	6254	5479
SOX9scrmsh9	SOX9scrm	722	457	599	605	394	262	168	169
SOX9scrmsh10	SOX9scrm	9187	6221	7218	7023	5755	4388	3161	2602
KRT20scrmsh1	KRT20scrm	34	42	42	11	4	21	9	12
KRT20scrmsh2	KRT20scrm	174	132	146	123	114	98	64	55
KRT20scrmsh3	KRT20scrm	106	66	74	55	88	75	40	24
KRT20scrmsh4	KRT20scrm	110	46	85	61	52	20	24	22
KRT20scrmsh5	KRT20scrm	40	32	37	32	28	10	15	6
KRT20scrmsh6	KRT20scrm	1667	920	1089	2230	1530	1099	858	484
KRT20scrmsh7	KRT20scrm	278	235	297	225	117	137	121	62
KRT20scrmsh8	KRT20scrm	203	172	279	384	137	92	148	127
KRT20scrmsh9	KRT20scrm	2895	1766	2142	2856	1726	1217	1023	707
KRT20scrmsh10	KRT20scrm	706	656	796	637	701	412	328	258
POLRD2scrmsh1	POLRD2scrm	104	66	72	89	91	46	35	21
POLRD2scrmsh2	POLRD2scrm	148	140	106	248	337	208	180	100
POLRD2scrmsh3	POLRD2scrm	173	120	146	160	218	120	94	72
POLRD2scrmsh4	POLRD2scrm	163	122	123	336	371	226	320	159
POLRD2scrmsh5	POLRD2scrm	365	272	269	472	726	368	306	178
MYCscrmsh1	MYCscrm	1470	937	1170	1744	899	822	623	441
GFPsh6m	GFP	191	143	161	134	111	60	60	54
GFPsh8m	GFP	189	105	149	136	37	49	73	37
mKatesh5m	mKate	134	92	99	82	28	79	43	53
mKatesh6m	mKate	93	70	92	91	18	24	28	25
SOX9sh1m	SOX9	456	264	559	566	121	120	228	123
KRT20sh2m	KRT20	3403	2443	3119	4251	4217	2530	1633	1437
