sgRNA	Gene	P4_F5.fq	P4_F6.fq	P4_F7.fq	P4_F8.fq	P4_F1.fq	P4_F2.fq	P4_F3.fq	P4_F4.fq
CTRL0006_g6	CTRL	28758	24813	21500	16345	12071	17877	7325	4305
CTRL0007_g7	CTRL	16376	14521	12324	9376	7220	10477	4061	2693
CTRL0008_g8	CTRL	17069	14916	12461	9186	6625	11326	4405	2490
CTRL0009_g9	CTRL	15714	13760	11767	8165	5594	10346	3512	2288
CTRL0010_g10	CTRL	24849	21135	17857	14264	9286	15911	6627	4185
ROSA26_g1	ROSA26	47575	44445	37259	26687	19427	31527	11597	7537
ROSA26_g2	ROSA26	18949	18515	15045	10922	7667	12733	4569	3086
ROSA26_g3	ROSA26	27312	22800	19094	14984	10572	17697	6035	3402
ROSA26_g4	ROSA26	19963	16660	13524	11222	7021	12744	4816	3223
ROSA26_g5	ROSA26	16052	13057	12214	9546	6509	11043	3972	2770
ROSA26_g6	ROSA26	22591	19571	18559	14613	10692	15415	5988	3181
ROSA26_g7	ROSA26	24554	20087	17789	14240	10520	15677	5218	3747
ROSA26_g8	ROSA26	11672	9569	8987	7389	4953	8561	3027	2031
ROSA26_g9	ROSA26	6689	5978	5136	3904	2769	4467	1604	996
ROSA26_g10	ROSA26	17948	16558	15800	12993	6441	10255	4690	2900
CCR5_g1	CCR5	13102	10261	10412	7837	5378	8634	3697	2517
CCR5_g2	CCR5	20667	18495	15314	11197	8320	13459	4960	2652
CCR5_g3	CCR5	11208	9860	8558	6618	4068	6507	2787	1479
CCR5_g4	CCR5	11288	9750	8571	6007	4157	7133	2588	1581
CCR5_g5	CCR5	12116	10341	9116	7074	5660	8648	3302	1739
CCR5_g6	CCR5	15670	12725	11635	9496	5958	9779	3259	2209
CCR5_g7	CCR5	30207	24553	22703	18277	14081	20497	7637	4480
CCR5_g8	CCR5	19292	15847	14318	11742	9428	12898	5060	2698
CCR5_g9	CCR5	9490	8599	7138	5148	3739	6350	2486	1764
CCR5_g10	CCR5	14944	13011	11385	9096	6366	10244	4242	2869
AAVS1_g1	AAVS1	24893	21797	18408	12604	8482	15223	5076	3303
AAVS1_g2	AAVS1	14873	13592	11695	8464	7031	11424	3573	2457
AAVS1_g3	AAVS1	16870	14943	12242	8886	6618	11407	3643	2014
AAVS1_g4	AAVS1	10107	8587	7388	5598	3734	5795	1965	1558
AAVS1_g5	AAVS1	16295	13314	11961	9213	6494	10809	3924	2436
AAVS1_g6	AAVS1	5611	4884	4200	3479	2554	4104	1649	845
AAVS1_g7	AAVS1	13882	11982	10049	7915	5245	8237	2778	1821
AAVS1_g8	AAVS1	26961	24425	17643	14134	9358	15497	5531	3404
AAVS1_g9	AAVS1	7286	6206	5112	4246	2740	4980	1833	1084
AAVS1_g10	AAVS1	8887	7677	6571	4700	3052	6176	1909	1340
EGFP_g1	EGFP	8375	9000	15840	11698	664	1045	6404	4301
EGFP_g2	EGFP	14003	13589	19315	14381	961	1391	7749	5227
EGFP_g3	EGFP	7683	8199	7465	7433	410	1135	4821	2543
EGFP_g4	EGFP	9664	9312	10754	8126	532	1040	4287	2203
EGFP_g5	EGFP	12538	12434	16359	12879	783	1150	7144	4458
EGFP_g6	EGFP	24917	22615	19033	15190	3445	6160	7178	4779
mKate2_g1	mKate2	12003	10369	9083	6158	3957	7738	2593	1588
mKate2_g2	mKate2	13025	11453	9990	7049	5129	9095	3337	2233
mKate2_g3	mKate2	13884	12314	10661	7651	5441	8817	3193	2324
mKate2_g4	mKate2	11626	9953	8359	6520	4965	8193	3159	1859
mKate2_g5	mKate2	12278	10756	9131	7725	4565	7214	2886	1745
mKate2_g6	mKate2	22311	18690	16188	12060	8840	14209	5395	3635
